图像路径,标注类别ID,标注类别名称,top-1-预测ID,top-1-预测名称,top-2-预测ID,top-2-预测名称,top-3-预测ID,top-3-预测名称,top-n预测正确,哈密瓜-预测置信度,圣女果-预测置信度,山竹-预测置信度,杨梅-预测置信度,柚子-预测置信度,柠檬-预测置信度,桂圆-预测置信度,梨-预测置信度,椰子-预测置信度,榴莲-预测置信度,火龙果-预测置信度,猕猴桃-预测置信度,石榴-预测置信度,砂糖橘-预测置信度,胡萝卜-预测置信度,脐橙-预测置信度,芒果-预测置信度,苦瓜-预测置信度,苹果-红-预测置信度,苹果-青-预测置信度,草莓-预测置信度,荔枝-预测置信度,菠萝-预测置信度,葡萄-白-预测置信度,葡萄-红-预测置信度,西瓜-预测置信度,西红柿-预测置信度,车厘子-预测置信度,香蕉-预测置信度,黄瓜-预测置信度
..\..\data\fruit30_split\val\哈密瓜\136.jpg,0,哈密瓜,0,哈密瓜,9,榴莲,29,黄瓜,True,0.97556055,5.8970268e-06,1.0427862e-05,6.2026484e-05,0.003059238,5.7055546e-05,4.42142e-07,0.00040881592,0.00018452106,0.006064245,3.637461e-05,3.6701297e-06,3.691323e-05,0.0001268513,0.002022244,0.0002900218,0.003348073,0.0029041704,4.5378088e-06,8.06984e-06,9.964694e-06,1.3710316e-05,0.00029169608,2.4577085e-07,1.3769451e-07,0.0002233195,1.04170285e-05,2.8136918e-07,0.0016284627,0.003627702
..\..\data\fruit30_split\val\哈密瓜\137.jpg,0,哈密瓜,5,柠檬,0,哈密瓜,28,香蕉,True,0.19529973,0.00056803896,1.3918396e-05,0.0018741542,0.007920879,0.5092449,3.3319277e-05,0.00022657281,0.0015399018,0.001530676,0.0006643354,0.0019748835,2.4151404e-05,9.083111e-05,0.0023990923,0.028110238,0.09916833,0.0010949863,4.927652e-05,0.0008986624,0.00067554595,7.720707e-05,0.0029496816,5.9963286e-06,8.1622153e-07,0.0030689582,0.00052625977,2.80131e-05,0.13971357,0.0002270582
..\..\data\fruit30_split\val\哈密瓜\14.jpg,0,哈密瓜,0,哈密瓜,4,柚子,25,西瓜,True,0.999972,6.42147e-10,6.57189e-08,4.111464e-07,1.522901e-05,3.85579e-07,9.9765195e-08,2.7519218e-07,9.0622524e-07,1.1610235e-08,3.960368e-09,7.660815e-07,2.0301751e-09,3.726767e-07,4.1701226e-10,7.213786e-07,2.8098475e-06,1.560791e-08,6.5616783e-09,5.011017e-09,1.9419099e-06,1.4466053e-07,2.7337824e-08,8.859727e-10,1.4359945e-10,3.6689771e-06,1.3306928e-09,3.752087e-11,1.159304e-08,2.6747669e-08
..\..\data\fruit30_split\val\哈密瓜\144.jpg,0,哈密瓜,0,哈密瓜,8,椰子,28,香蕉,True,0.83376634,0.00083018426,5.314028e-05,5.30836e-05,0.009532314,0.0006632689,0.0002304824,0.00083666155,0.07899419,0.0071534216,3.9337483e-05,0.00063729944,7.361393e-05,0.0005828428,0.004557865,0.010542332,0.012970752,0.00013846715,2.1500899e-05,1.7281944e-05,8.3186875e-05,0.00015046257,9.6623524e-05,1.387669e-05,3.1470718e-06,0.0028318288,0.0038752682,1.0280719e-05,0.03112525,0.000115805335
..\..\data\fruit30_split\val\哈密瓜\145.jpg,0,哈密瓜,0,哈密瓜,3,杨梅,5,柠檬,True,0.99505204,1.1022537e-05,1.9843765e-05,0.0012696026,0.0007057482,0.00079674943,1.6207317e-05,0.00020736604,0.00014684374,0.00011085521,1.6939539e-05,0.0005358918,6.7600544e-05,6.71826e-05,4.886568e-06,6.953236e-05,0.00019624675,0.000120886354,2.9643961e-06,1.191e-05,4.7495654e-05,0.00013222813,5.0259794e-05,9.542227e-07,1.1275345e-05,0.000109641886,4.9454334e-06,1.4620402e-06,6.27198e-05,0.00014870694
..\..\data\fruit30_split\val\哈密瓜\152.jpg,0,哈密瓜,0,哈密瓜,16,芒果,11,猕猴桃,True,0.9999094,4.1990828e-07,8.732765e-09,3.0535915e-08,9.477614e-06,1.6620704e-06,6.6339425e-08,3.36567e-07,8.757568e-09,2.5436418e-07,5.582614e-11,1.4697356e-05,5.179361e-10,1.7711818e-07,7.3322126e-09,1.4427778e-06,5.9584614e-05,2.4079398e-08,9.229411e-09,6.358607e-10,4.646957e-10,6.2846377e-09,3.6943686e-07,4.868783e-09,1.9278698e-10,5.604683e-09,7.73298e-09,5.0662946e-10,1.9661713e-06,2.1573211e-10
..\..\data\fruit30_split\val\哈密瓜\163.jpg,0,哈密瓜,0,哈密瓜,22,菠萝,16,芒果,True,0.9533701,2.4193614e-07,5.9386866e-07,1.0219864e-07,0.005948244,0.00021272733,1.165887e-05,0.0040332517,0.00014140847,0.0005756925,5.1211014e-06,8.0210845e-07,5.012354e-07,3.187292e-05,0.00023755542,0.0014553254,0.013078108,6.797141e-06,2.0208072e-06,1.3361079e-06,3.024627e-06,5.8872365e-07,0.0195749,5.9960707e-06,2.2274758e-08,0.00035648266,3.5971314e-07,8.293771e-09,0.0009310663,1.4120019e-05
..\..\data\fruit30_split\val\哈密瓜\164.jpg,0,哈密瓜,0,哈密瓜,4,柚子,16,芒果,True,0.99998796,8.352087e-09,1.6604969e-09,9.841915e-09,6.936295e-06,9.093663e-08,4.817746e-09,9.103174e-08,8.7434335e-09,2.2075265e-07,5.0812005e-10,3.993993e-08,2.5971232e-11,1.247933e-07,1.0593206e-08,1.1967505e-07,3.679225e-06,5.423478e-09,2.0608615e-09,1.7427226e-10,1.5206256e-08,7.2819586e-09,1.1946438e-08,1.8486254e-11,1.6708012e-11,2.8363694e-09,2.7451215e-09,7.6195833e-10,6.458371e-07,8.591838e-09
..\..\data\fruit30_split\val\哈密瓜\173.jpg,0,哈密瓜,0,哈密瓜,16,芒果,25,西瓜,True,0.9989617,1.4930339e-05,1.5165393e-06,1.5411119e-06,3.5777786e-05,2.5797153e-06,2.0757129e-07,9.993855e-07,6.985987e-06,2.5248409e-07,1.0945063e-09,7.9616824e-05,4.34053e-09,4.541875e-07,1.5359896e-06,2.5159278e-07,0.00051432854,2.0552588e-05,9.315155e-07,7.9131524e-07,6.292763e-07,1.1522988e-07,1.072916e-07,5.354511e-07,1.7212959e-07,0.0003317146,7.700315e-06,9.5283036e-07,8.7100483e-07,1.2283951e-05
..\..\data\fruit30_split\val\哈密瓜\178.jpg,0,哈密瓜,4,柚子,16,芒果,5,柠檬,False,0.012707299,0.0005811713,0.0002801829,5.7512415e-07,0.5482962,0.07918028,0.00034857658,0.0015977174,0.0032784971,2.4065469e-06,7.4717434e-08,3.0007027e-06,0.0002062044,3.113678e-05,4.2732748e-07,0.014812129,0.33793864,1.5894481e-07,0.00024290053,6.5601744e-05,2.296792e-08,1.636583e-05,6.456571e-05,3.6474116e-06,1.5381011e-06,0.00014260685,2.7136288e-05,6.1350875e-07,0.0001697149,6.5398103e-07
..\..\data\fruit30_split\val\哈密瓜\182.jpg,0,哈密瓜,0,哈密瓜,8,椰子,28,香蕉,True,0.9448148,2.8350817e-07,0.00052239606,6.489592e-07,0.00065406563,0.00038858448,0.00078264606,1.2972138e-06,0.049326826,4.013469e-06,9.3633785e-09,9.409795e-05,5.660007e-08,2.1676382e-05,3.793625e-07,1.3915113e-05,0.000376026,2.886649e-07,8.723918e-05,3.6661245e-08,7.4588394e-07,9.509254e-07,1.6375047e-06,4.5077463e-06,4.6228087e-07,0.0001585705,4.983091e-08,5.972221e-08,0.0027402234,3.4266056e-06
..\..\data\fruit30_split\val\哈密瓜\25.jpg,0,哈密瓜,0,哈密瓜,16,芒果,4,柚子,True,0.833571,0.00017827333,5.2718433e-06,0.0004502148,0.035348486,0.0012706331,0.0032046465,5.0533614e-05,0.0008284494,0.00012849453,2.6890286e-05,2.6310192e-05,4.5598513e-06,0.018053086,0.00028425743,0.020321358,0.052790385,1.7992093e-05,2.231676e-05,1.1544364e-05,0.006086424,0.00020119362,0.013342306,9.286469e-08,3.8882067e-06,0.012753441,0.00067598786,1.6872723e-06,3.535521e-05,0.00030488765
..\..\data\fruit30_split\val\哈密瓜\29.png,0,哈密瓜,0,哈密瓜,4,柚子,8,椰子,True,0.9641604,0.00017159584,4.3883916e-05,0.0001430178,0.011751692,0.00010290837,0.0013762482,0.001176336,0.010065199,4.652913e-05,1.4272662e-06,0.0037766013,2.061959e-05,0.000533679,5.0883536e-06,0.0002556651,0.0004291328,0.00018878981,8.613729e-05,1.1148061e-05,2.5327528e-05,0.004094701,2.5888348e-05,2.3898554e-07,1.0594083e-05,7.940631e-05,6.262272e-05,0.0013206238,3.424358e-05,2.3194792e-07
..\..\data\fruit30_split\val\哈密瓜\38.jpg,0,哈密瓜,0,哈密瓜,4,柚子,11,猕猴桃,True,0.99616903,1.0866959e-05,3.7302452e-06,5.42037e-07,0.0033610237,3.1079584e-05,9.704718e-07,4.362255e-06,3.9173305e-05,1.9882189e-05,3.4684708e-09,0.000304306,9.156685e-08,2.417381e-06,6.807789e-07,1.4788638e-05,2.094831e-05,1.3887599e-06,1.0103505e-07,5.375591e-08,4.5705076e-07,5.054184e-06,5.3465686e-07,3.218618e-08,1.1125839e-07,4.8458037e-07,2.6509153e-06,2.7169148e-07,4.902011e-06,2.1991472e-08
..\..\data\fruit30_split\val\哈密瓜\44.jpg,0,哈密瓜,0,哈密瓜,8,椰子,4,柚子,True,0.9845834,1.30075905e-05,9.533166e-05,4.5254407e-07,0.0056502535,0.00084085745,9.684926e-05,0.00013505538,0.008101086,6.6668156e-07,1.2365119e-07,3.891253e-05,6.508076e-07,1.0720885e-05,3.0101606e-07,5.058586e-05,0.00010696217,6.5970644e-06,2.5785555e-05,2.254788e-05,1.5623265e-06,0.00012454015,3.570363e-06,9.220015e-08,5.4972542e-08,8.284976e-05,3.385604e-06,6.101953e-07,2.9058087e-06,3.0952637e-07
..\..\data\fruit30_split\val\哈密瓜\46.jpg,0,哈密瓜,0,哈密瓜,4,柚子,16,芒果,True,0.9987822,2.0103535e-05,3.190248e-05,1.4434614e-05,0.0005922997,1.6064347e-06,1.3715716e-06,2.6461053e-05,2.3034443e-05,1.5124693e-05,3.0491576e-06,0.00014517788,2.9979495e-07,1.279975e-06,1.0960823e-05,3.3839264e-05,0.00023771336,3.7556965e-06,6.921631e-06,2.0723971e-07,1.0975142e-05,6.550882e-06,2.518928e-07,1.9757804e-08,5.3506472e-08,8.276069e-06,1.0280147e-05,4.84827e-06,6.6208363e-06,2.3877703e-07
..\..\data\fruit30_split\val\哈密瓜\48.jpg,0,哈密瓜,0,哈密瓜,3,杨梅,20,草莓,True,0.88981223,8.294044e-06,0.00038567226,0.051154517,5.570012e-05,0.0009263796,0.0009646963,1.9473995e-05,6.567066e-05,3.1858892e-06,5.500968e-05,9.938508e-05,3.2630085e-06,1.829793e-05,5.546665e-06,1.66821e-06,0.00020837816,0.013628585,1.4128431e-06,0.000345703,0.031865247,0.0009415348,3.883968e-06,2.7733404e-05,0.00015376935,0.0049864845,1.4877273e-05,2.609852e-06,9.303099e-06,0.004231423
..\..\data\fruit30_split\val\哈密瓜\56.jpg,0,哈密瓜,0,哈密瓜,6,桂圆,11,猕猴桃,True,0.6345339,3.19084e-07,5.8453876e-05,2.3025991e-06,0.0005683774,1.6051148e-05,0.32719275,0.0025342547,0.012118009,0.0003069734,1.6848599e-08,0.021453178,4.1803043e-05,9.70778e-05,3.4646717e-05,8.784813e-05,0.00092181296,4.0344153e-07,4.873431e-06,3.29097e-07,3.9948202e-07,3.87484e-06,6.4708615e-08,1.976298e-06,6.1212006e-07,3.2539215e-06,4.1453184e-08,1.2377511e-07,1.4297115e-05,1.9543172e-06
..\..\data\fruit30_split\val\哈密瓜\63.jpg,0,哈密瓜,0,哈密瓜,4,柚子,16,芒果,True,0.9164214,4.9601163e-06,8.915383e-05,9.084241e-06,0.030889358,0.00056068297,3.83998e-05,0.000542118,0.020046756,0.00053174765,4.175795e-05,1.2248841e-05,1.5890907e-07,0.000502094,0.00011930897,0.0030050662,0.023491524,3.0264408e-05,9.697633e-05,2.3228868e-06,0.00084476033,0.0001802732,0.00042195784,5.6771965e-05,3.4210015e-07,0.00037888714,2.84936e-06,3.3029443e-07,0.0005388023,0.0011397344
..\..\data\fruit30_split\val\哈密瓜\66.jpg,0,哈密瓜,0,哈密瓜,16,芒果,4,柚子,True,0.9364498,0.000140393,5.0567272e-05,6.269494e-05,0.0066628223,0.00012887646,4.9859154e-06,0.00020683563,3.2481476e-05,6.162173e-05,3.9367977e-05,0.00015696167,3.898946e-06,2.37835e-05,2.3465023e-05,0.00041222482,0.05424346,1.0680715e-05,8.516017e-06,0.00039434878,3.979402e-05,3.5260277e-06,1.7134395e-06,1.1232863e-06,2.7997362e-07,5.878916e-05,3.7417372e-05,9.456669e-06,0.0007205335,9.501799e-06
..\..\data\fruit30_split\val\哈密瓜\7.jpg,0,哈密瓜,0,哈密瓜,16,芒果,22,菠萝,True,0.82618564,2.9585271e-07,3.8962926e-06,2.9431481e-05,0.002181367,2.554419e-05,0.0007312621,0.0032654468,0.002350913,0.009021696,6.1530886e-07,1.19477645e-05,3.934683e-06,0.0022789198,0.0039856774,0.00031336775,0.123140946,1.46612565e-05,4.8817265e-06,6.2187416e-07,1.5217899e-05,7.0796705e-05,0.022220692,1.1342044e-05,2.6976775e-07,0.00030613824,4.856866e-07,9.3866575e-08,0.0037620852,6.169806e-05
..\..\data\fruit30_split\val\哈密瓜\70.jpg,0,哈密瓜,0,哈密瓜,4,柚子,16,芒果,True,0.9998317,1.0579498e-06,2.2810812e-07,6.0540366e-08,9.9727746e-05,7.239247e-06,1.1981022e-06,4.7935514e-06,9.670559e-08,7.108207e-07,2.352289e-10,1.836771e-05,1.6425734e-09,1.8570236e-06,1.9297303e-08,9.131399e-06,2.1873922e-05,1.6386782e-08,4.5383842e-07,2.8866813e-08,4.0007166e-09,3.763219e-08,4.3292005e-08,1.8215067e-08,5.3077637e-10,3.800818e-07,4.0904165e-08,2.6079425e-09,6.840422e-07,2.503446e-09
..\..\data\fruit30_split\val\哈密瓜\75.jpg,0,哈密瓜,0,哈密瓜,16,芒果,11,猕猴桃,True,0.9889361,1.6887185e-05,1.2217082e-05,2.9452955e-05,0.00052133424,0.0004719174,2.9937446e-06,0.00013964745,0.0004482518,0.00020220444,2.9065956e-07,0.0020345023,5.0236004e-08,6.5662293e-06,4.1063755e-05,2.4228126e-05,0.004715876,0.00050716667,1.7792794e-05,8.354073e-06,1.5511508e-06,4.016896e-06,1.8489557e-06,5.6133176e-05,1.8932338e-06,0.0001079327,1.6737441e-06,9.653913e-06,0.0008735278,0.00080494717
..\..\data\fruit30_split\val\哈密瓜\84.jpg,0,哈密瓜,0,哈密瓜,28,香蕉,8,椰子,True,0.9973853,7.212388e-06,4.0956775e-07,1.0734032e-07,0.00017802235,3.315168e-07,4.204482e-06,5.8048277e-05,0.00032806522,6.150176e-05,3.5598475e-06,2.416715e-05,3.809065e-06,3.4407968e-08,4.3663633e-05,3.962348e-07,0.0002741974,1.5822534e-05,2.9186902e-08,3.0316198e-06,2.4319883e-07,2.794925e-07,1.8967113e-07,1.5079733e-07,6.80815e-07,1.5902104e-05,5.250515e-05,2.0603653e-07,0.0015217309,1.6252343e-05
..\..\data\fruit30_split\val\哈密瓜\9.jpg,0,哈密瓜,0,哈密瓜,16,芒果,14,胡萝卜,True,0.70584077,8.44055e-05,1.5422956e-05,1.09360735e-05,0.008058175,3.2448163e-05,1.2895605e-05,0.0001655711,9.0257556e-05,0.0016244239,1.4962888e-05,7.779897e-06,8.70859e-05,0.00014494351,0.058876827,0.0027540447,0.15092708,0.0024066297,0.0003592073,7.2744783e-06,0.0006037102,0.00031035274,0.0024220333,2.8349685e-05,2.9473918e-07,0.04573482,0.0048945337,1.0138542e-05,0.01370378,0.000770897
..\..\data\fruit30_split\val\哈密瓜\90.jpg,0,哈密瓜,0,哈密瓜,16,芒果,4,柚子,True,0.99995494,1.8478331e-09,1.4260807e-07,7.2791977e-07,1.0046045e-05,4.421782e-07,3.7785775e-09,2.0618022e-07,1.1361908e-06,2.2797444e-07,5.9359486e-09,8.293e-07,8.71687e-09,9.1252764e-07,4.4075443e-10,1.8000155e-07,2.9471632e-05,1.210217e-09,6.4845036e-09,1.5806085e-08,3.2097898e-07,8.8085976e-08,1.4300794e-07,9.452904e-10,1.5025749e-10,7.723901e-08,5.5932303e-10,2.2891088e-10,2.5122274e-08,1.5556791e-08
..\..\data\fruit30_split\val\哈密瓜\91.jpg,0,哈密瓜,0,哈密瓜,4,柚子,21,荔枝,True,0.7829543,0.0034312536,0.0010002193,0.022481991,0.092021085,0.004811911,0.00015369241,0.0024736582,0.011727191,0.0002690457,9.5105795e-05,0.0040950794,1.0862624e-06,6.785979e-05,0.00011236552,0.0021544634,0.0071657686,0.0018396486,0.00047180007,0.010465477,0.0018855821,0.03538496,0.00021360228,0.0052789617,4.8708243e-05,0.00077359006,0.0022896884,8.7390676e-05,0.004716642,0.0015279582
..\..\data\fruit30_split\val\圣女果\100.jpeg,1,圣女果,1,圣女果,26,西红柿,13,砂糖橘,True,0.00040058096,0.8114807,8.1163074e-05,0.001330606,0.00032430727,0.0003767396,0.00013563485,0.00016244547,1.3275322e-05,2.8541215e-06,1.2328141e-07,1.142387e-05,0.0009239548,0.015889721,1.661997e-05,0.0006039828,0.0036258588,9.3028815e-05,0.00026802305,0.000111206355,0.0008634674,0.005924934,5.7939865e-06,0.0002823334,0.00078745215,0.0004161619,0.15197264,0.003861542,6.330443e-06,2.6950927e-05
..\..\data\fruit30_split\val\圣女果\102.jpeg,1,圣女果,1,圣女果,3,杨梅,21,荔枝,True,6.4370775e-05,0.44118273,0.0023501667,0.19580336,0.00070349313,5.7261448e-05,2.0661178e-05,5.9920812e-06,7.9972015e-05,0.00010752999,2.4105611e-05,2.1291467e-06,0.002430784,0.009636218,8.8132205e-05,6.99096e-05,0.00023784535,0.0028240406,7.26732e-05,2.5303118e-05,0.121159926,0.15616564,0.000519953,0.00022868304,0.020811278,0.0014634256,0.019040802,0.024548938,0.00020497276,6.96603e-05
..\..\data\fruit30_split\val\圣女果\114.jpg,1,圣女果,1,圣女果,20,草莓,26,西红柿,True,7.4886265e-07,0.8508765,8.6734035e-06,0.00059039274,0.0007782541,0.00082989904,1.7881443e-05,2.0415105e-06,0.00013628825,2.7495402e-08,3.675388e-06,9.304321e-05,0.0071710465,0.00073642447,5.5508957e-07,1.7364051e-06,2.600271e-05,6.967777e-05,0.0001733024,2.3080556e-05,0.10115525,0.0018735848,1.4459091e-06,0.00010226675,0.0004853928,8.4231666e-05,0.0304115,0.004338667,6.9397083e-06,1.429121e-06
..\..\data\fruit30_split\val\圣女果\12.jpg,1,圣女果,1,圣女果,26,西红柿,27,车厘子,True,4.8561293e-09,0.96933144,1.9404086e-05,4.2082326e-07,6.3774787e-06,1.1217245e-06,8.144788e-07,2.4487596e-09,9.296156e-08,6.5855366e-09,3.9949335e-08,6.1624496e-07,8.836778e-05,6.508683e-05,7.591314e-07,8.7607575e-08,2.758663e-07,0.00010555471,1.5651989e-05,6.66832e-07,0.00044321257,0.00013281169,7.4065487e-09,2.888469e-07,0.0011661061,2.5182446e-06,0.016920907,0.011693273,2.2772108e-06,1.7692737e-06
..\..\data\fruit30_split\val\圣女果\132.png,1,圣女果,1,圣女果,26,西红柿,20,草莓,True,9.667142e-05,0.8378934,1.2887567e-05,1.5208932e-05,0.00021576823,5.8689395e-05,3.912203e-06,6.9687367e-06,0.00013562155,1.212604e-06,7.7811455e-06,4.5284964e-05,0.0002691676,4.9674323e-05,0.00024060333,5.3089097e-05,0.0002475147,1.9174731e-05,2.5722842e-05,3.5955538e-05,0.0016228587,0.00017902405,4.528114e-06,7.1538796e-07,1.7224302e-05,0.0002854928,0.1569095,0.0015210877,2.254295e-05,2.8184586e-06
..\..\data\fruit30_split\val\圣女果\135.jpeg,1,圣女果,1,圣女果,26,西红柿,27,车厘子,True,7.6777546e-08,0.92537403,6.831499e-06,8.54491e-07,1.0860765e-05,8.9264154e-07,1.0778306e-06,7.1194137e-07,1.7388653e-05,1.809669e-09,4.969796e-09,7.348193e-08,0.0017178892,0.00033257718,6.0491644e-08,1.1882171e-06,1.868861e-06,6.0918545e-08,4.9125996e-05,2.3311633e-05,3.1045531e-06,3.7503578e-05,1.2879445e-07,6.3580513e-10,2.7982765e-05,4.1823824e-07,0.06197731,0.010410939,3.6910756e-06,5.2862053e-09
..\..\data\fruit30_split\val\圣女果\138.jpeg,1,圣女果,1,圣女果,26,西红柿,27,车厘子,True,9.6248904e-08,0.9199876,5.637956e-06,5.099709e-06,9.798438e-05,7.3280357e-06,3.2855369e-06,8.693888e-06,1.9106017e-05,2.3785782e-07,6.929547e-08,2.1682247e-07,0.0003949936,9.0188536e-05,5.1110317e-07,5.737225e-06,0.0015598296,2.4266267e-06,0.00013924569,4.575801e-05,3.4111523e-05,0.00013165198,2.5105547e-07,1.2032778e-05,1.2435594e-05,9.506328e-06,0.07501651,0.0024068484,2.2500706e-06,4.0454805e-07
